Semana,Lunes,Martes,Miércoles,Jueves,Viernes,Mes,observación
RE-1,29,30,31,1,2,January/December,Receso de inicio de año 
RE-2,5,6,7,8,9,January,Receso de inicio de año 
RE-3,12,13,14,15,16,January,Coincide con Desarrollo Institucional 
RE-4,19,20,21,22,23,January,Coincide con Desarrollo Institucional 
RE-5,15,16,17,18,19,June,Receso de mitad de año 
RE-6,22,23,24,25,26,June,Receso de mitad de año 
RE-7,29,30,1,2,3,July/June,Receso de mitad de año 
RE-8,5,6,7,8,9,October,Semana de receso estudiantil (octubre) 
RE-9,30,1,2,3,4,December/November,Receso de fin de año 
RE-10,7,8,9,10,11,December,Receso de fin de año 
RE-11,14,15,16,17,18,December,Receso de fin de año 
RE-12,21,22,23,24,25,December,Receso de fin de año
